STATUS,Main Code,PLZ,ORT,STR,Telefon,Telefon Intern,E Mail,Main Typ,Stationsname,Manager,Bundesland,ID Checker,Switch,Port,IT Kommentar,TSR REMARKS,SN-PC,SN-SC,TV-ID,,PP,SW,FW,PP,SW
READY,QFBS02,79540,LOERRACH,WIESENTALSTR. 24,+49 (7621) 162740,,destQFBS02@europcar.com,C,LOERRACH,Fatih Ceri,BW,1,ECARQFBS02AZS01,4,,,47917771453,201743 00695,,,A11,4,,,
READY,QKZC01,78467,KONSTANZ,REICHENAUSTR. 184,+49 (7531) 52833,,destQKZC01@europcar.com,A,KONSTANZ,Markus Kleber,BW,1,ECARQKZC01AZS01,5,,,,,,,,,,,
READY,QKZN03,72488,SIGMARINGEN,IN DEN BURGWIESEN 20,+49 (7571) 74470,,destQKZN03@europcar.com,A,SIGMARINGEN,Orhan Yilmaz,BW,1,BBQKZN03ZAZS01,20,ok,,,,,,,,,,
READY,QULC01,89081,ULM,JAEGERSTR 35,+49 (731) 968460,,destQULC01@europcar.com,C,ULM / DONAU,Jens Kreutzberger,BW,1,ECARQULC01AZS01,20,,,,201840 00023,,,A3,20,,,
READY,QULW02,89520,HEIDENHEIM,SIEMENSSTR 70,+49 (7321) 40170,,destQULW02@europcar.com,A,HEIDENHEIM,SL carEmotions GmbH,BW,1,BBQULW02AZS01,20,steckt auf Port 18 und muss auf Port 20,,,,,,,,,,
READY,RULC01,72766,REUTLINGEN,STUTTGARTER STR. 8,+49 (7121) 94930,,destRULC01@europcar.com,C,REUTLINGEN,Manuel Stuhli,BW,1,ECARRULC01AZS01,10,,,,,,,B16,16,,,
READY,SGYC01,78224,SINGEN,GUETERSTR 31,+49 (7731) 87790,,destSGYC01@europcar.com,C,SINGEN,Jan Patrick Junker,BW,1,ECARSGYC01AZS01,5,,,,,,,A13,,,,
READY,STRC03,70173,STUTTGART,KRONENSTR. 17,+49 (711) 22446330,,deststrc03@europcar.com,C,STUTTGART CITY IKC,Katarzyna Cetin,BW,1,ECARSTRC03AZS01,22,ok - Laut STRC03 verbindet sich das Tablett NICHT mit dem Scanner. ,,,,,,,,,,
READY,STRE02,71332,WAIBLINGEN,DEVIZESSTR. 18,+49 (7151) 95360,,destSTRE02@europcar.com,C,WAIBLINGEN,Mario Scandale,BW,1,ECARSTRE02AZS01,7,TSR steckt am Router MX (Port 6) und muss an Switchport 7,IDChecker zu Switchport 7 gewechselt,,,,,2,7,,,
READY,STRL01,70173,STUTTGART,AM HAUPTBAHNHOF 2,+49 (711) 2244630,,destSTRL01@europcar.com,CRR,STUTTGART  MAINSTATION -IKC-,Katarzyna Cetin,BW,1,ECARSTRL01AZS01,4,ok,,,,,,,,,,
READY,STRN01,70435,STUTTGART,LUDWIGSBURGER STR. 13,+49 (711) 9879390,,destSTRN01@europcar.com,C,STUTTGART  ZUFFENHAUSEN -IKC-,Romeo Stuhli,BW,1,ECARSTRN01AZS01,4,ok,,,,,,A5,,,,
READY,STRS03,71065,SINDELFINGEN,BOEBLINGER STR 134,+49 (7031) 794860,,DESTSTRS03@europcar.com,C,SINDELFINGEN,Konstantina Sourlas,BW,1,ECARSTRS03AZS01,16,TSR muss von Port 4 auf Port 16 umgesteckt werden,Umgepatched,,,,,13,16,,,
READY / FLICKERING STRT01-02,STRT01,70629,STUTTGART,FLUGHAFENSTR.,+49 (711) 9499010,24,destSTRT01@europcar.com,CAP,STUTTGART   AIRPORT -IKC-,Hartmut Wiggers,BW,2,ECARSTRT01AZS02,15 + 16,TSR stecken am MX auf Port 4+7 und müssen umgesteckt werden,Neuer LM,,,,,,,,,
READY,STRW01,70563,STUTTGART,HAUPTSTR. 189 B,+49 (711) 4894490,,destSTRW01@europcar.com,CSS,STUTTGART TILL 12AM US MILITARY,Iwana Dvanajscak,BW,1,ECARSTRW01AZS01,21,ok,"Switch Full, Connected to Firewall",,,,,,21,,,
READY,TFGC01,72070,TUEBINGEN,ROSENTALSTR. 8-12,+49 (7071) 13370,,destTFGC01@europcar.com,C,TUEBINGEN,Fritz Necker,BW,1,ECARTFGC01AZS01,18,,FW Port 8 Move to SW Port 18,,,,,A8,18,,,
READY,UPFC01,75179,PFORZHEIM,MANNHEIMER STR. 19,+49 (7231) 313535,,destUPFC01@europcar.com,A,PFORZHEIM,Martina Wohlgemuth,BW,1,ECARUPFC01AZS01,4,,,,,,,,,,,
READY,ZCCC01,76532,BADEN-BADEN,SINZHEIMER STR. 79 A,+49 (7221) 50660,,destZCCC01@europcar.com,C,BADEN-BADEN,Swetlana Bogatyrev,BW,2,Switch voll,,zu Prüfen,,,,,,,,,,
READY,ZEBC02,73730,ESSLINGEN,SCHORNDORFER STR. 14,+49 (7119) 392170,,destZEBC02@europcar.com,A,ESSLINGEN,Stephan Anger,BW,1,ECARZEBC02AZS01,2,,,,,,,,,,,
READY,ZQLC01,78052,VILLINGEN-SCHWENNINGEN,UTZENBUEHL 19,+49 (7721) 9968690,,destzqlc01@europcar.com,A,VILLINGEN-SCHWENNINGEN,Armin Mossmaier,BW,1,Switch voll,,,Allnet Gigabit Switch Port 5 for IDChecker,,,,,,,,,
READY,ZRWC02,76437,RASTATT,IM WOEHR 3,+49 (7222) 156830,,destZRWC02@europcar.com,A,RASTATT,Euroline GmbH & Co. KG,BW,1,ECARZRWC02AZS01,2,,"No Switch, No Patchpanel, just Firewall Port3",,,,,,,3,,
READY,AGBC02,86165,AUGSBURG,ZUGSPITZSTR 187,+49 (405) 20188000,,destAGBC02@europcar.com,C,AUGSBURG LECHHAUSEN,Alexander Baur,BY,1,BBAGBC02AZS01,7,,,,,,,A9,5,,,
READY,BYUC01,95448,BAYREUTH,ALBRECHT-DUERER-STR. 3,+49 (921) 726360,,destBYUC01@europcar.com,C,BAYREUTH,Philipp Thoma,BY,1,PO Switch,,müsste am PO Switch angesteckt werden,No Desko Scanner available / Switch Ful,,,,,B10,,7,,
READY,ERLC01,91052,ERLANGEN,HILPERTSTR. 29,+49 (9131) 90360,,destERLC01@europcar.com,C,ERLANGEN,Eda Oezdemir,BY,1,ECARERLC01AZS01,23,ok,,,,,,A10,,,,
READY,FMMS01,87437,KEMPTEN,BLEICHERSTR 4,+49 (831) 5402580,,destFMMS01@europcar.com,C,KEMPTEN,Daniel Siegfanz,BY,1,BBFMMS01AZS01,20,,,,,,,A15,20,,,
READY,FMMT01,87766,MEMMINGERBERG,AM FLUGHAFEN 42,+49 (8331) 9250860,,destFMMT01@europcar.com,C,MEMMINGEN AIRPORT,Alexander Baur,BY,1,ECARFMMT01AZS01,6,ok,,,,,,Direct,6,,,
READY,FUHC01,90765,FUERTH,HANS-VOGEL-STR. 134,+49 (911) 7905775,,destFUHC01@europcar.com,A,FUERTH,Christa Guenther GmbH,BY,1,ECARFUHC01AZS02,5,,,,,,,Direct,5,,,
READY,MUCC01,80335,MUENCHEN,MARSSTR. 24,+49 (89) 54543990,,destMUCC01@europcar.com,C,MUNICH CITY TILL 12AM NO TRUCKS IKC,Sebastian Behringer,BY,2,ECARMUCC01AZS01,18,,,,,,,,,,,
READY,MUCE02,81825,MUENCHEN,BAJUWARENSTR. 118,+49 (89) 9220910,,destMUCE02@europcar.com,C,MUNICH EAST *NO TRUCKS*,Andreas Dracopoulos,BY,1,ECARMUCE02AZS01,19,2.IDChecker mitgenommen,,,,,,A7,19,,,
READY,MUCN01,80807,MUENCHEN,INGOLSTAEDTER STR. 43,+49 (89) 1490970,,destMUCN01@europcar.com,C,MUNICH TILL 12AM *NO TRUCKS*,Frank Wannersdorfer,BY,1,ECARMUCN01AZS01,21,,Switch Full / Connected on Switch2 Port 2,,,,,42,2,,,
READY,MUCN25,80939,MUENCHEN,INGOLSTAEDTER STR. 172-180,+49 (89) 37061760,,destMUCN25@europcar.com,CSS,MUNICH ONLY VAN & TRUCK IKC,Frank Wannersdorfer,BY,1,ECARMUCN25AZS01,21,ok,"Schließung Ende September, Info Rücksendung an TSR verschickt",,,,,A6,21,,,
CLOSING 31.07.2025,MUCS01,81549,MUENCHEN,CHIEMGAUSTR. 161,+49 (89) 6208080,,destMUCS01@europcar.com,C,MUNICH SOUTH *NO TRUCKS* IKC,Allen Skenderi,BY,0,ECARMUCS01ZS01,20,Schließt 31.7.2025!!!!!!,2 Geräte bei uns angekommen,,,,,,,,,
READY,MUCT01,85356,MUENCHEN FLUGHAFEN,TERMINALSTR. MITTE,+49 (8997) 35020,,destMUCT01@europcar.com,CAP,MUNICH AIRPORT -IKC-,Robert Moik,BY,4,ECARMUCT01AZS02,"5, 14, 17, 13, 19",1 TSR steckt am 48p Switch an 31 und muss umgesteckt werden,4 IDChecker vorhanden,,,,,,,,,
READY,NUES01,90461,NUERNBERG,FRANKENSTR. 100,+49 (911) 214930,,destNUES01@europcar.com,C,NUREMBERG SOUTH TILL 12AM -IKC-,Tobias Mohr,BY,1,ECARNUES01AZS01,13,,,,,,,A7,13,,,
READY,NUET01,90411,NUERNBERG,FLUGHAFENSTR. 100,+49 (911) 365290,,destNUET01@europcar.com,C,NUREMBERG   AIRPORT -IKC-,Andrea Gress,BY,1,ECARNUET01AZS01,16,,,,,,,A23,16,,,
READY,NUEW01,90431,NUERNBERG,EDISONSTR 23,+49 (911) 60066910,,destNUEW01@europcar.com,CSS,NUREMBERG VAN & TRUCK CARS IKC,Robert Lachmann,BY,1,BBNUEW01AZS01,8,,,,,,,A9,8,,,
READY,OBFS01,81379,MUENCHEN,BOSCHETSRIEDER STR. 46,+49 (89) 74493620,,destOBFS01@europcar.com,C,MUNICH SOUTH SENDLING TILL 10PM,Lars Heise,BY,1,BBOBFS01AZS01,10,ok,,,,,,,,,,
READY,OBFW01,81241,MUENCHEN,LORTZINGSTR 22,+49 (89) 8966620,,destOBFW01@europcar.com,C,MUNICH PASING OBERMENZING,Locationmanager,BY,1,BBOBFW01AZS01,5,,,,,,,1.19,5,,,
READY,QFLN01,84489,BURGHAUSEN,MARKTLER STR. 65,+49 (8677) 878762,,destQFLN01@europcar.com,C,BURGHAUSEN,Marlene Dracopoulos,BY,1,ECARQFLN01AZS01,2,,,,,,,Direct,4,,,
READY,QLGN01,84032,LANDSHUT,ALTDORFER STR 1,+49 (871) 9748270,,destQLGN01@europcar.com,C,LANDSHUT,Rene Olbert,BY,1,BBQLGN01AZS01,20,muss von Port 12 auf 20 umgesteckt werden,Switch Full/ Port 20 another Switch / Connected to FW Port4,,,,,9,,4,,
READY,RSQC01,83026,ROSENHEIM,KLEPPERSTR. 20,+49 (8031) 35970,,destRSQC01@europcar.com,C,ROSENHEIM,Robert Wagner,BY,1,ECARRSQC01AZS01,22,,Switch Full/ Was connected on Port 16,,,,,A9,16,,,
READY,WUEC01,97076,WUERZBURG,GATTINGERSTR. 5,+49 (931) 200480,,destWUEC01@europcar.com,C,WUERZBURG TILL 12AM,Michael Boenisch,BY,1,ECARWUEC01AZS01,20,,,,,,,23,20,,,
READY,ZCBC01,63739,ASCHAFFENBURG,HANAUER STR. 78,+49 (6021) 443690,,destZCBC01@europcar.com,C,ASCHAFFENBURG,Tobias Resnik,BY,1,ECARZCBC01AZS01,19+20,TSR steckt auf Port 2 und muss umgesteckt werden,Port switched 2-->19,,,,,B5,19,,,
READY,ZNQC01,85051,INGOLSTADT,MUENCHENER STR 29,+49 (8419) 66450,,destZNQC01@europcar.com,C,INGOLSTADT MONIKAVIERTEL,Franziska Pischke,BY,1,BBZNQC01AZS01,21,,,,,,,Direct,21,,,
READY,ZORN01,92637,WEIDEN,DR.-SEELING-STR. 23,+49 (961) 43234,,destZORN01@europcar.com,A,WEIDEN,Marc Donath,BY,1,ECARZORN01AZS01,6,,,,,,,A02,7,,,
NOCH NIE IDCHECKER GEHABT,ZPMC01,93053,REGENSBURG,BAJUWARENSTR. 2,+49 (941) 799680,,destZPMC01@europcar.com,C,REGENSBURG,Florin Croitoru,BY,0,ECARZPMC01AZS01,23,,,,,,,,,,,
READY / FLICKERING / ERSATZ,BREC01,28195,BREMEN,BREITENWEG 32,+49 (421) 173510,,destBREC01@europcar.com,C,BREMEN TILL 12AM *NO TRUCKS*,Thomas Nabow,HB,1,ECARBREC01AZS01,24,Port24 Belegt --> Jetzt Port25,,,,,,B9,25,,,
READY,BREN25,28197,BREMEN,LUDWIG ERHARD STR 45,+49 (421) 5350980,,destBREN25@europcar.com,CSS,BREMEN VAN TRUCK CARS IKC,Thorsten Buschmann,HB,1,ECARBREN25AZS01,6,ok,,47944771453,201820 00656,,,,,,,
READY,BRET01,28199,BREMEN,FLUGHAFENALLEE 29,+49 (421) 557440,,destBRET01@europcar.com,C,BREMEN   AIRPORT -IKC-,Malte Kuehl,HB,1,ECARBRET01AZZ01,14,ok,,,,,,,,,,
READY / FLICKERING / ERSATZ,BQMC03,61348,BAD HOMBURG,HINDENBURGRING 36,+49 (6172) 37804,,destBQMC03@europcar.com,A,BAD HOMBURG,Michael Martin,HE,1,ECARBQMC03AZS01,5,ok,,,201743 00737,,,,,,,
READY,DASC01,64293,DARMSTADT NORTH,OTTO-ROEHM-STR. 53,+49 (6151) 98890,,destDASC01@europcar.com,C,DARMSTADT,Bjoern-Alexander Behnke,HE,1,ECARDASC01AZS01,11,"war zuletzt 26.03. online, Kabelproblem?",,,,,,B11,11,,,
READY,FRAC03,60327,FRANKFURT AM MAIN,EUROPA ALLEE 6,+49 (69) 4057060,,destFRAC03@europcar.com,C,FRANKFURT AM MAIN*NO TRUCKS*,Patrick Enders,HE,1,Switch voll,,,Switch Full -->MX Port 8,,,,,A3,,8,,
READY / FLICKERING / ERSATZ,FRAE02,60314,FRANKFURT AM MAIN,HANAUER LANDSTR. 334,+49 (69) 9421560,,destFRAE02@europcar.com,C,FRANKFURT 24H OPEN EAST -IKC-,Elena Karagiorgou,HE,1,ECARFRAE02AZS01,14,,,426255253,201737 01601,,,A24,14,,,
READY,FRAL01,60329,FRANKFURT AM MAIN,IM HAUPTBAHNHOF 1,+49 (69) 2429810,,destFRAL01@europcar.com,CRR,FRANKFURT  MAINSTATION -IKC-,Patrick Enders,HE,1,ECARFRAL01AZS01,6,"Switch voll, TC an Port 6 auf MX umstecken",MX Port6 from Netgear SW Port5,,,,,5,,6,,
READY / FLICKERING / ERSATZ,FRAT01,60549,FRANKFURT AM MAIN,"AIRPORT CITY MALL, BEREICH A",+49 (69) 697970,,destFRAT01@europcar.com,CAP,FRANKFURT AP 24H OPEN T1  -IKC-,Erdal Kasarca,HE,4,"ECARFRAT01BZS02, ECARFRAT01BZS01","18, 19 + 20, 13",,,,,,,,,,,
READY,FRAN05,61169,FRIEDBERG,KAISERSTR. 156,+49 (6031) 169816,,destFRAN05@europcar.com,A,FRIEDBERG NO TRUCKS,Michael Martin,HE,1,ECARFRAN05AZS02,7,ok,,,,,,Direkt,7,,,
READY / FLICKERING / ERSATZ,FRAW01,60486,FRANKFURT AM MAIN,LUDWIG LANDMANN STR 399,+49 (69) 9706410,,destFRAW01@europcar.com,C,FRANKFURT  WEST -IKC-,Chafik El Makhfi,HE,1,ECARFRAW01AZS01,17,muss umgesteckt werden,,,,,,20,17,,,
KEIN IDCHECKER,GJHC01,36037,FULDA,PETERSBERGER STR. 42,+49 (661) 70106,,destGJHC01@europcar.com,A,FULDA,Manfred Ziegler,HE,1,Switch voll,,,Kein ID Checker vorhanden. Muss geklärt werden,,,,,,,,,
READY,HNUC03,63450,HANAU,AUHEIMER STR. 2,+49 (6181) 99540,,destHNUC03@europcar.com,A,HANAU,Nina Boehm,HE,1,ECARHNUC03AZS01,2,,,,,,,A17/19,2,,,
READY,KSFC01,34123,KASSEL,LEIPZIGER STR. 65-71,+49 (561) 500570,,destKSFC01@europcar.com,C,KASSEL,Tanja Lauterbach,HE,1,ECARKSFC01AZS01,44,,,,,,,A9,44,,,
READY,NWBW02,63225,LANGEN,AMPERESTR. 7-11,+49 (6103) 74663,,destNWBW02@europcar.com,A,LANGEN,Konar GbR,HE,1,Switch voll,,,,,,,,Direct,,,,
READY,OFEC01,63069,OFFENBACH,SPRENDLINGER LANDSTR. 173 a,+49 (69) 8500070,,destOFEC01@europcar.com,C,OFFENBACH / MAIN,Corey Bruzdziak,HE,1,ECAROFEC01AZS01,20,TSR steckt am Router MX und muss umgesteckt werden,,49073505053,201737 01605,,,A3,20,,,
READY,QLHC01,65451,KELSTERBACH,KLEINER KORNWEG 2-4,+49 (6107) 79010,,destQLHC01@europcar.com,CSS,KELSTERBACH VAN & TRUCK CARS,Stephan Hach,HE,1,ECARFRAC99AZS01,44,ok,,,201737 01586,,,5/18,44,,,
READY,UWEC01,65189,WIESBADEN,MAINZER STR. 96,+49 (611) 186330,,destUWEC01@europcar.com,C,WIESBADEN,Frank Loeffler,HE,1,ECARUWEC01AZS01,3,ok,,,,,,A9,,,,
READY,ZOIC01,35039,MARBURG,AFFOELLERSTR. 82,+49 (6421) 489020,,destZOIC01@europcar.com,A,MARBURG,Michael Halfpap,HE,1,ECARZOIC01AZS01,1,ok,,,,,,,,,,
READY,ZPSC01,65428,RUESSELSHEIM,STAHLSTR. 18,+49 (6142) 603490,,destZPSC01@europcar.com,C,RUESSELSHEIM,Nicole Engel,HE,1,ECARZPSC01AZS03,6,,,,,,,14,2,,,
READY,ZQYC01,35394,GIESSEN,SCHIFFENBERGER WEG  120,+49 (641) 969870,,destZQYC01@europcar.com,A,GIESSEN,M. Halfpap GmbH,HE,1,ECARZQYC01AZS01,6,TSR steckt am MX Router und muss umgesteckt werden,Umgesteckt von MX auf SW06,,,,,,,,,
READY,HAMC03,22041,HAMBURG,BRAUHAUSSTR. 24-28,+49 (40) 52605850,,destHAMC03@europcar.com,C,HAMBURG WANDSBEK TILL 12AM -IKC-,Franziska Hartung,HH,1,ECARHAMC03AZS01,3,ok,,12823580153,201737 01593,,,A9,3,,,
READY,HAML01,20099,HAMBURG,HEIDI-KABEL-PLATZ 10,+49 (40) 335941,,destHAML01@europcar.com,CRR,HAMBURG  MAINSTATION,Rui Mendes,HH,1,ECARHAML01AZS01,14,,"Umzug Bahnhof am 1.7.25 - BAUMEISTER STR. 15, jetzt HAMC01",16064464053,201734 01574,,,A7,14,,,
READY / ERSATZ,HAMN25,22761,HAMBURG,BORNKAMPSWEG 60,+49 (40) 30682670,,destHAMW01@europcar.com,CSS,HAMBURG VAN TRUCK CARS IKC,Martin Gebser,HH,1,ECARHAMN25AZS01,30,,,,,,,,,,,
READY,HAMS01,21077,HAMBURG,WINSENER STR. 210,+49 (40) 7661330,,destHAMS01@europcar.com,C,HAMBURG  SOUTH HARBURG -IKC-,Rui Mendes,HH,1,ECARHAMS01ZS02,3,,Externer Netgear Switch an Cisco Switch,,,,,B12,6,7,,
READY,HAMS25,20537,HAMBURG,SUEDERSTR. 185,+49 (40) 526058506,,destHAMS25@europcar.com,C,HAMBURG HAMMERBROOK IKC,Franziska Hartung,HH,1,ECARHAMS25AZS01,12,ok,,,,,,A6,12,,,
READY,HAMT01,22335,HAMBURG,FLUGHAFENSTR. 1,+49 (40) 5002170,,destHAMT01@europcar.com,CAP,HAMBURG AIRPORT -IKC-,Wahb Yaqoob,HH,3,ECARHAMT01AZS01,"9, 11, 13","nein (9+13), ja (11)",01--> PP.B1-->SW17 | Namechange on tablets needed,,,,,,,,,
READY,NEBC01,17033,NEUBRANDENBURG,AM GUETERBAHNHOF 5,+49 (395) 430390,,destNEBC01@europcar.com,C,NEUBRANDENBURG,Arite Arndt,MV,1,ECARNEBC01AZS01,4,TSR steckt am Router MX und muss umgesteckt werden,,,,,,,,,,
READY,RSOC01,18057,ROSTOCK,WARNOWUFER 32,+49 (381) 203050,,destRSOC01@europcar.com,C,ROSTOCK,Denny Schultz,MV,1,ECARRSOC01AZS01,42,,,,,,,,,,,
READY,SZWC02,19057,SCHWERIN LANKOW,GREVESMUEHLENER STR 18 F,+49 (385) 485180,,destSZWC02@europcar.com,C,SCHWERIN,Denny Schultz,MV,1,ECARSZWC02AZS01,2,,,,,,,,,,,
READY,ZGWC01,17489,GREIFSWALD,AN DEN BAECKERWIESEN 1,+49 (3834) 500600,,destZGWC01@europcar.com,A,GREIFSWALD,Katrin Rost,MV,1,Switch voll,,,"Switch full, no other switch available",,,,,,,4,,
